"SAMPLING_RESULTS_ID","SAMPLING_EVENTS_ID","CUSTODY_NUMBER","PARAMETER","METHOD","NUMBER_RESULT","REPORTED_RESULT","ALPHA_RESULT","FLAG","UNITS","MDL","RDL","ANALYSIS_DATE","ANALYZED_BY","RECORD_CREATED","PARAMETERS_ID","CONTRACT_LAB_ID","SAMPLE_ID","COLLECT_DATE","REASON","ROWID"
"92","","","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","10","9.91","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","PAR a SD","2010-04-05 00:00:00","","{4506435A-B777-4AC8-8320-10D449C8735C}"
"93","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0","0","    ","U","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","HIC d","2010-04-05 00:00:00","","{4FFD2A3F-3864-408F-A422-1AA5FB0E58F4}"
"95","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0",".481","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","ela a","2010-04-05 00:00:00","","{AE6081AD-F72B-42C8-B7AE-5FFD783D3A18}"
"96","","","COD, Chemical Oxygen Demand","COD by EPA 410.4","0","0","    ","U","mg/L","6.7","20","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","HIC d","2010-04-05 00:00:00","","{727DE003-8A58-45AA-A746-73DC87E3990A}"
"97","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0","0","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","001 SD","2010-04-04 00:00:00","","{15E394E9-93F0-4E3E-ACD3-6EEDCFEE7BA8}"
"98","102","20100405-HC-2","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","1",".66","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","ATEN 1","2010-04-05 00:00:00","","{9CD8484E-ABC4-455A-8547-0C22CFB4427C}"
"99","","","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","10","9.83","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","PAR a S","2010-04-05 00:00:00","","{56EB430F-F6E3-40AE-A983-875043645570}"
"100","","","COD, Chemical Oxygen Demand","COD by EPA 410.4","0","0","    ","U","mg/L","6.7","20","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","PAR a","2010-04-05 00:00:00","","{F2A8907F-410D-4C0D-81D2-E1A7E414592F}"
"101","","","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","1",".507","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","PAR a","2010-04-05 00:00:00","","{5E149601-E515-4179-AB07-C9613570D434}"
"102","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".095","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","PAR a","2010-04-05 00:00:00","","{FCB5E8C1-384D-4617-8A9B-5C71E38F6B11}"
"103","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".205","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","PAR a S","2010-04-05 00:00:00","","{D4B96C6A-145F-4256-9E08-328240B71E26}"
"104","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".182","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","PAR a SD","2010-04-05 00:00:00","","{F3A74F0A-9CE6-44F5-A1EF-1F581F5CC6D8}"
"105","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".06","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","HIC d","2010-04-05 00:00:00","","{43F1C62A-50BF-4094-B801-FFBB771D09BF}"
"107","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".043","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","ela a","2010-04-05 00:00:00","","{B5EF440A-E4C2-4571-966F-E4C560DEAA92}"
"108","","","Copper, Cu","Metals per ICP by EPA 200.7","0","0","    ","U","mg/L","0.003","0.01","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a","2010-04-05 00:00:00","","{C380DC1E-1EC0-478B-A649-96AABFA7708E}"
"109","","","Iron, Fe","Metals per ICP by EPA 200.7","1","1.11","    ","","mg/L","0.01","0.03","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a","2010-04-05 00:00:00","","{5DFE58FC-9B80-439A-8F04-AA7AB201F986}"
"110","","","Copper, Cu","Metals per ICP by EPA 200.7","1","1.03","    ","","mg/L","0.003","0.01","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a S","2010-04-05 00:00:00","","{7E215200-9482-4B36-AB64-516AB6775436}"
"111","","","Iron, Fe","Metals per ICP by EPA 200.7","2","2.28","    ","","mg/L","0.01","0.03","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a S","2010-04-05 00:00:00","","{BB37A61E-E25A-4426-A6EE-8841C5AE6CE6}"
"112","","","Copper, Cu","Metals per ICP by EPA 200.7","1","1.04","    ","","mg/L","0.003","0.01","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a SD","2010-04-05 00:00:00","","{8B241E06-242A-4084-8B6F-33832578DE87}"
"113","","","Iron, Fe","Metals per ICP by EPA 200.7","2","2.33","    ","","mg/L","0.01","0.03","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a SD","2010-04-05 00:00:00","","{9688708A-1827-428A-B1CB-5A09E90B3FF1}"
"114","","","Copper, Cu","Metals per ICP by EPA 200.7","0","0","    ","U","mg/L","0.003","0.01","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","HIC d","2010-04-05 00:00:00","","{27AE623D-B072-48A5-AF22-5FD8850858F6}"
